,Date,AAPL Open (USD),AAPL High (USD),NDAQ Open (USD)
242,2017-09-18,40.0275,40.125,6460.100098
243,2017-09-19,39.877499,39.942501,6465.569824
244,2017-09-20,39.474998,39.564999,6459.740234
245,2017-09-21,38.950001,38.950001,6448.569824
246,2017-09-22,37.884998,38.067501,6401.439941
247,2017-09-25,37.497501,37.9575,6403.109863
248,2017-09-26,37.945,38.48,6391.850098
249,2017-09-27,38.450001,38.68,6414.370117
250,2017-09-28,38.4725,38.57,6437.959961
251,2017-09-29,38.302502,38.532501,6461.279785
252,2017-10-02,38.564999,38.612499,6506.080078
253,2017-10-03,38.502499,38.772499,6523.740234
254,2017-10-04,38.407501,38.465,6521.959961
255,2017-10-05,38.544998,38.860001,6552.870117
256,2017-10-06,38.7425,38.872501,6566.950195
257,2017-10-09,38.952499,39.182499,6597.370117
258,2017-10-10,39.014999,39.5,6602.490234
259,2017-10-11,38.9925,39.244999,6586.72998
260,2017-10-12,39.087502,39.342499,6594.759766
261,2017-10-13,39.182499,39.32,6613.209961
262,2017-10-16,39.474998,40.0,6622.549805
263,2017-10-17,39.945,40.217499,6621.419922
264,2017-10-18,40.105,40.177502,6634.259766
265,2017-10-19,39.1875,39.27,6583.700195
266,2017-10-20,39.1525,39.4375,6633.370117
267,2017-10-23,39.2225,39.422501,6641.569824
268,2017-10-24,39.072498,39.355,6598.609863
269,2017-10-25,39.227501,39.387501,6587.220215
270,2017-10-26,39.307499,39.4575,6567.589844
271,2017-10-27,39.822498,40.900002,6635.029785
272,2017-10-30,40.9725,42.017502,6693.77002
273,2017-10-31,41.974998,42.412498,6713.709961
